City;Location;Coordinates;Country Code;Pollutant;Source Name;Unit;Value;Last Updated;Country
Flanders;Belgium - Flanders - 42N045 - HASSELT;50.939713,5.3683786;BE;O3;EEA Belgium;µg/m³;2.5;2017-01-06T11:00:00+01:00;Belgium
Flanders;Belgium - Flanders - 42R020 - VILVOORDE;50.941387,4.436721;BE;SO2;EEA Belgium;µg/m³;0.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42R805 - ANTWERPEN;51.20823,4.4215593;BE;NO2;EEA Belgium;µg/m³;23.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42R811 - SCHOTEN;51.2521,4.491362;BE;PM10;EEA Belgium;µg/m³;14.2;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 43N060 - HAVINNES;50.61672,3.4576244;BE;O3;EEA Belgium;µg/m³;49.5;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 43N066 - EUPEN;50.62886,6.002329;BE;SO2;EEA Belgium;µg/m³;0.0;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 43N070 - MONS;50.46519,3.9397144;BE;O3;EEA Belgium;µg/m³;41.0;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 43R221 - LIEGE;50.658443,5.6278353;BE;PM10;EEA Belgium;µg/m³;12.771;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 44R701 - GENT;51.05833,3.729298;BE;PM10;EEA Belgium;µg/m³;127.2;2017-07-20T23:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 44R702 - Gent (G.Carlierlaan);51.040688,3.7349715;BE;PM2.5;EEA Belgium;µg/m³;6.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 44R740 - ST.KRUIS-WI;51.150135,3.8087354;BE;NO2;EEA Belgium;µg/m³;12.5;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 47E703 - OOSTEEKLO;51.190315,3.6872957;BE;NO2;EEA Belgium;µg/m³;7.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 47E716 - MARIAKERKE;51.066986,3.682813;BE;NO2;EEA Belgium;µg/m³;5.5;2017-07-21T00:00:00+02:00;Belgium
Brussels-Capital Region;Belgium - Brussels-Capital Region - BETMEU1;50.8951,4.392718;BE;PM10;EEA Belgium;µg/m³;5.0;2020-12-20T02:00:00+01:00;Belgium
Antwerpen;Belgium - Antwerpen - BETN016;51.233654,5.163979;BE;O3;EEA Belgium;µg/m³;42.0;2020-12-20T02:00:00+01:00;Belgium
Brussels-Capital Region;Belgium - Brussels-Capital Region - BETN043;50.88356,4.382963;BE;SO2;EEA Belgium;µg/m³;0.3;2020-12-20T02:00:00+01:00;Belgium
Limburg;Belgium - Limburg - BETN046;50.882298,5.618874;BE;O3;EEA Belgium;µg/m³;41.0;2020-12-20T02:00:00+01:00;Belgium
Luxembourg;Belgium - Luxembourg - BETN085;50.303207,6.001736;BE;CO;EEA Belgium;µg/m³;0.14;2020-12-20T02:00:00+01:00;Belgium
Oost-Vlaanderen;Belgium - Oost-Vlaanderen - BETR740;51.150135,3.808735;BE;PM10;EEA Belgium;µg/m³;14.7;2020-12-20T02:00:00+01:00;Belgium
Brussels;Belgium - Brussels - 41R001 - MOLENBEEK;50.849667,4.33382;BE;O3;EEA Belgium;µg/m³;49.5;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42R841 - MECHELEN;51.002525,4.4693213;BE;NO2;EEA Belgium;µg/m³;44.5;2017-01-06T11:00:00+01:00;Belgium
Wallonia;Belgium - Wallonia - 43N063 - CORROY L.G.;50.655437,4.6682878;BE;O3;EEA Belgium;µg/m³;53.5;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 43R222 - SERAING;50.61341,5.570223;BE;PM2.5;EEA Belgium;µg/m³;3.62;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 43R223 - JEMEPPE;50.62067,5.5164046;BE;PM10;EEA Belgium;µg/m³;12.771;2017-07-21T00:00:00+02:00;Belgium
Wallonia;Belgium - Wallonia - 43R240 - ENGIS;50.583614,5.397446;BE;O3;EEA Belgium;µg/m³;40.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 44N052 - ZWEVEGEM;50.814873,3.3224943;BE;PM2.5;EEA Belgium;µg/m³;5.0;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 44R710 - DESTELBERGE;51.06128,3.7752624;BE;NO2;EEA Belgium;µg/m³;6.5;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 44R750 - ZELZATE;51.196064,3.82292;BE;PM2.5;EEA Belgium;µg/m³;6.0;2017-07-21T00:00:00+02:00;Belgium
West-Vlaanderen;Belgium - West-Vlaanderen - BELOB02;50.91495,3.3762116;BE;PM10;EEA Belgium;µg/m³;17.6;2020-12-20T02:00:00+01:00;Belgium
Brussels-Capital Region;Belgium - Brussels-Capital Region - BETB006;50.83863,4.374388;BE;NO2;EEA Belgium;µg/m³;6.0;2020-12-20T02:00:00+01:00;Belgium
Brussels-Capital Region;Belgium - Brussels-Capital Region - BETMEU1;50.8951,4.392718;BE;PM2.5;EEA Belgium;µg/m³;3.3;2020-12-20T02:00:00+01:00;Belgium
Namur;Belgium - Namur - BETN100;50.095684,4.594763;BE;SO2;EEA Belgium;µg/m³;0.0;2020-12-20T02:00:00+01:00;Belgium
Luxembourg;Belgium - Luxembourg - BETN113;50.027027,5.593017;BE;O3;EEA Belgium;µg/m³;57.0;2020-12-20T02:00:00+01:00;Belgium
Luxembourg;Belgium - Luxembourg - BETN132;49.71928,5.630398;BE;CO;EEA Belgium;µg/m³;0.145;2020-12-20T02:00:00+01:00;Belgium
Brussels-Capital Region;Belgium - Brussels-Capital Region - BETR012;50.79663,4.358539;BE;PM2.5;EEA Belgium;µg/m³;6.95;2020-12-20T02:00:00+01:00;Belgium
Oost-Vlaanderen;Belgium - Oost-Vlaanderen - BETR701;51.05833,3.729298;BE;CO;EEA Belgium;µg/m³;0.185;2020-12-19T02:00:00+01:00;Belgium
Oost-Vlaanderen;Belgium - Oost-Vlaanderen - BETR702;51.040688,3.7349715;BE;PM2.5;EEA Belgium;µg/m³;8.0;2020-12-20T02:00:00+01:00;Belgium
Oost-Vlaanderen;Belgium - Oost-Vlaanderen - BETR710;51.06128,3.7752624;BE;PM2.5;EEA Belgium;µg/m³;7.5;2020-12-20T02:00:00+01:00;Belgium
Antwerpen;Belgium - Antwerpen - BETR801;51.209663,4.431821;BE;O3;EEA Belgium;µg/m³;38.0;2020-12-20T02:00:00+01:00;Belgium
Flanders;Belgium - Flanders - 40WZ02 - MOL;51.1928,5.2215343;BE;SO2;EEA Belgium;µg/m³;0.5;2017-07-21T00:00:00+02:00;Belgium
Brussels;Belgium - Brussels - 41R002 - IXELLES;50.825127,4.384719;BE;NO2;EEA Belgium;µg/m³;30.5;2017-07-21T00:00:00+02:00;Belgium
Flanders;Belgium - Flanders - 42M802 - ANTWERPEN;51.26099,4.424399;BE;PM10;EEA Belgium;µg/m³;17.7;2017-07-21T00:00:00+02:00;Belgium
