,osmid,lanes,highway,junction,oneway,length,geometry,ref,name,maxspeed,service,bridge,tunnel,access,width
17885,372873838,,service,,False,42.574,"LINESTRING (4.473946 50.4227324, 4.4740024 50.4224094, 4.4739185 50.4223872)",,,,parking_aisle,,,,
17886,372873838,,service,,False,32.027,"LINESTRING (4.473946 50.4227324, 4.4738334 50.42277, 4.4738102 50.4229765)",,,,parking_aisle,,,,
17887,372873839,,service,,False,59.46,"LINESTRING (4.473946 50.4227324, 4.4741499 50.4227409, 4.4742547 50.4223419)",,,,,,,,
17888,372873839,,service,,False,7.437,"LINESTRING (4.4742759 50.4222764, 4.4742547 50.4223419)",,,,,,,,
17889,845435984,,secondary,,True,24.923,"LINESTRING (4.4742759 50.4222764, 4.4746277 50.4222764)",N29,Chaussée Impériale,50,,,,,
17890,372873786,,residential,,True,5.202,"LINESTRING (4.4739185 50.4223872, 4.4739335 50.4223414)",,Rue du Moulin,,,,,,
17891,372873838,,service,,False,42.574,"LINESTRING (4.4739185 50.4223872, 4.4740024 50.4224094, 4.473946 50.4227324)",,,,parking_aisle,,,,
17892,372873590,,service,,False,58.518,"LINESTRING (4.468418 50.4228913, 4.468896 50.4233205)",,,,,,,,
17893,372873591,,service,,False,56.50700000000001,"LINESTRING (4.4689571 50.422811, 4.4692066 50.4223838, 4.4692053 50.4223604, 4.4692416 50.422343)",,,,,,,,
17894,216477453,,service,,False,82.238,"LINESTRING (4.4585653 50.4018365, 4.4585714 50.401912, 4.4586358 50.4019804, 4.458727 50.4020112, 4.4588549 50.4019972, 4.4589247 50.4019048, 4.4588986 50.4018094, 4.4587806 50.4017753, 4.4586465 50.4017958, 4.4585653 50.4018365)",,,,parking_aisle,,,,
17895,216477453,,service,,False,82.23800000000001,"LINESTRING (4.4585653 50.4018365, 4.4586465 50.4017958, 4.4587806 50.4017753, 4.4588986 50.4018094, 4.4589247 50.4019048, 4.4588549 50.4019972, 4.458727 50.4020112, 4.4586358 50.4019804, 4.4585714 50.401912, 4.4585653 50.4018365)",,,,parking_aisle,,,,
17896,216477453,,service,,False,282.431,"LINESTRING (4.4585653 50.4018365, 4.4584901 50.4018741, 4.456136 50.4025822, 4.4561281 50.4027087, 4.4565844 50.403338)",,,,parking_aisle,,,,
17897,106487212,,unclassified,,False,37.985,"LINESTRING (4.4619494 50.4011286, 4.4614637 50.4009842)",,,,,,,permissive,
17898,373061988,,unclassified,,False,312.811,"LINESTRING (4.4619494 50.4011286, 4.4611784 50.4011755, 4.4601298 50.401449, 4.4592847 50.4016493, 4.4591295 50.4017957, 4.4592992 50.4023267, 4.4593575 50.4025206, 4.4594195 50.4026196)",,Zone Lumat,,,,,destination,
17899,373061988,,unclassified,,False,434.401,"LINESTRING (4.4619494 50.4011286, 4.4628675 50.4011765, 4.4639021 50.4012548, 4.4650672 50.4013598, 4.4653185 50.4013562, 4.4655725 50.4013029, 4.4657344 50.4011908, 4.4668341 50.3999532)",,Zone Lumat,,,,,destination,
