,osmid,oneway,lanes,ref,name,highway,maxspeed,length,bridge,junction,geometry,access,service,tunnel,width
1511,28139927,False,,,Rue de Sardanson,residential,50,11.173,,,"LINESTRING (4.8777241 50.4740656, 4.877814 50.4741482)",,,,
1512,28139927,False,,,Rue de Sardanson,residential,50,193.233,,,"LINESTRING (4.8777241 50.4740656, 4.8761926 50.4726269)",,,,
1513,28139925,False,,,Rue Raymond Gemine,residential,,105.967,,,"LINESTRING (4.8777241 50.4740656, 4.8779151 50.4739775, 4.878112 50.4735517, 4.8780446 50.4733628, 4.8780293 50.4731978)",,,,
1514,28139925,False,,,Rue Raymond Gemine,residential,,105.967,,,"LINESTRING (4.8780293 50.4731978, 4.8780446 50.4733628, 4.878112 50.4735517, 4.8779151 50.4739775, 4.8777241 50.4740656)",,,,
1515,29401162,False,,,Rue Victor Bemelmans,residential,,119.989,,,"LINESTRING (4.8780293 50.4731978, 4.8780472 50.4730227, 4.8781034 50.472784, 4.8783225 50.4721366)",,,,
1516,32318093,False,,,Rue Charles Simon,residential,,34.084,,,"LINESTRING (4.8780293 50.4731978, 4.8781068 50.473143, 4.8782282 50.4731078, 4.8784593 50.4730923)",,,,
1517,28141366,False,,,Rue Arthur Joseph Piersotte,residential,,236.152,,,"LINESTRING (4.8856002 50.4812046, 4.8832703 50.479684)",,,,
1518,28141365,True,,,Rue Arthur Joseph Piersotte,residential,,46.41499999999999,,roundabout,"LINESTRING (4.8856002 50.4812046, 4.8856641 50.4811824, 4.885736 50.4811746, 4.885808 50.4811821, 4.8858721 50.4812041, 4.8859216 50.4812382, 4.885951 50.4812806, 4.8859571 50.4813268, 4.8859392 50.4813718, 4.8858993 50.4814106)",,,,
1519,28141365,True,,,Rue Arthur Joseph Piersotte,residential,,27.79,,roundabout,"LINESTRING (4.8855953 50.4814235, 4.8855517 50.4813925, 4.8855244 50.4813546, 4.8855156 50.4813133, 4.8855262 50.4812722, 4.8855552 50.4812349, 4.8856002 50.4812046)",,,,
1520,28387921,False,,,Rue Fernand Hanchir,residential,,80.989,,,"LINESTRING (4.8855953 50.4814235, 4.8849674 50.4817994, 4.8848292 50.4819562)",,,,
1521,28387927,False,,,Rue Arthur Joseph Piersotte,residential,,125.567,,,"LINESTRING (4.8858993 50.4814106, 4.8870937 50.4822458)",,,,
1522,28141365,True,,,Rue Arthur Joseph Piersotte,residential,,23.694,,roundabout,"LINESTRING (4.8858993 50.4814106, 4.885847 50.4814372, 4.8857846 50.4814527, 4.8857178 50.4814555, 4.8856527 50.4814455, 4.8855953 50.4814235)",,,,
1523,28141366,False,,,Rue Arthur Joseph Piersotte,residential,,236.152,,,"LINESTRING (4.8832703 50.479684, 4.8856002 50.4812046)",,,,
