,osmid,lanes,name,highway,maxspeed,oneway,length,ref,geometry,width,service,junction,access,bridge,tunnel
8835,439397688,,,cycleway,,False,3.944,,"LINESTRING (4.6969822 50.9294656, 4.6969272 50.9294581)",,,,,,
8836,206745395,,Baron E. Descampslaan,tertiary,,False,6.282,,"LINESTRING (4.6968651 50.9294902, 4.6968994 50.9295424)",,,,,,
8837,439397688,,,cycleway,,False,5.629,,"LINESTRING (4.6968651 50.9294902, 4.6969272 50.9294581)",,,,,,
8838,439397688,,,cycleway,,False,5.479,,"LINESTRING (4.6968651 50.9294902, 4.6968133 50.9295271)",,,,,,
8839,206745395,,Baron E. Descampslaan,tertiary,,False,20.92,,"LINESTRING (4.6968651 50.9294902, 4.6968067 50.9294001, 4.6967577 50.9293147)",,,,,,
8840,23001794,2,Vaartdijk,tertiary,30,False,34.249,,"LINESTRING (4.6924459 50.9241527, 4.6928607 50.9239899)",,,,,,
8841,116386911,,,cycleway,,False,6.277,,"LINESTRING (4.6924459 50.9241527, 4.6923931 50.9241071)",,,,,,
8842,23001794,2,Vaartdijk,tertiary,30,False,12.694,,"LINESTRING (4.6924459 50.9241527, 4.6923618 50.9241849, 4.6922875 50.9242078)",,,,,,
8843,116386911,,,cycleway,,False,46.20699999999999,,"LINESTRING (4.6924459 50.9241527, 4.6925446 50.9242473, 4.6923478 50.924523)",,,,,,
8844,116386911,,,cycleway,,False,6.277,,"LINESTRING (4.6923931 50.9241071, 4.6924459 50.9241527)",,,,,,
8845,1009157177,,,cycleway,,False,118.433,,"LINESTRING (4.6923931 50.9241071, 4.6927175 50.9239842, 4.6938413 50.9235584)",,,,,,
8846,25093570,,,path,,False,113.489,,"LINESTRING (4.6848733 50.8517609, 4.6864126 50.8520728)",,,,,,
8847,25093570,,,path,,False,51.361,,"LINESTRING (4.6848733 50.8517609, 4.6841865 50.8516017)",,,,,,
8848,76348401,,,path,,False,116.548,,"LINESTRING (4.6848733 50.8517609, 4.6844364 50.8527721)",,,,,,
8849,198676306,2,Aarschotsesteenweg,primary,,True,28.719,N19,"LINESTRING (4.709209 50.9035783, 4.7091331 50.9038321)",,,,,,
8850,"[171829305, 311042986, 311042988]",3,Aarschotsesteenweg,primary,,False,115.022,N19,"LINESTRING (4.709209 50.9035783, 4.7094119 50.9029956, 4.7094288 50.9029472, 4.7094531 50.9028775, 4.7095582 50.9025676)",,,,,,
8851,53085700,3,Wijgmaalsesteenweg,tertiary,50,False,60.789,,"LINESTRING (4.7081677 50.9037439, 4.707418 50.9034694)",,,,,,
8852,"[118943956, 340265965, 340265966]",4,Wijgmaalsesteenweg,tertiary,50,False,34.137,,"LINESTRING (4.7081677 50.9037439, 4.7082174 50.9037616, 4.7085282 50.9038743, 4.7085889 50.9038978)",,,,,yes,
8853,684453400,1,,tertiary_link,,True,49.814,,"LINESTRING (4.7081677 50.9037439, 4.7081226 50.9037549, 4.7080819 50.903754, 4.708027 50.9037445, 4.7077765 50.9036566, 4.7076784 50.9036189, 4.7076396 50.903611, 4.7076042 50.9036053, 4.7075189 50.9036016)",,,,,,
